linha,nome
Linhas de Ônibus da Cooptauá,Belém - Tauá
Linhas de Ônibus da Expresso Amorim Vitória,Imperador - Centro
Linhas de Ônibus da Rosas Transportes,Jaderlândia (2ª Rua) - COHAB
Linhas de Ônibus da Salve Maria,Jaderlândia (3ª Rua) - Apeú
Linhas de Ônibus da Salve Maria,Betânia
Linhas de Ônibus da Viação Forte,40 Horas - Ver-o-Peso
Linhas de Ônibus da Viação Forte,Jiboia Branca - Ver-o-Peso
Linhas de Ônibus da Viação Forte,40 Horas - São Brás
Linhas de Ônibus da Viação Forte,Curuçambá - UFPA
Linhas de Ônibus da Transporte Macapazinho,Cariri
Linhas de Ônibus da Transporte Macapazinho,Calúcia
Linhas de Ônibus da Ruth Transportes,Ipês Tangarás - UFPA
Linhas de Ônibus da Expresso Macapazinho,Pantanal
Linhas de Ônibus da Expresso Macapazinho,Milagre - FCAT
Linhas de Ônibus da TransMosqueiro | Shallom,Vila - Baía do Sol
Linhas de Ônibus da TransMosqueiro,Vila - Carananduba
Linhas de Ônibus da TransMosqueiro,Vila - Paraíso
Linhas de Ônibus da TransMosqueiro,Circular - Portal
Linhas de Ônibus da Luane Transportes,Parque dos Buritis - FCAT
Linhas de Ônibus da Luane Transportes,Jagatá - UFPA
Linhas de Ônibus da Universidade Federal do Pará,Circular UFPA
Linhas de Ônibus da Transportes Águas Lindas,Águas Lindas - Pátio Belém
Linhas de Ônibus da Transportes Águas Lindas,Águas Lindas - Ver-o-Peso
Linhas de Ônibus da Transportes Águas Lindas,Águas Lindas - Pres. Vargas
Linhas de Ônibus da Transportes Águas Lindas,Águas Lindas - Icoaraci
Linhas de Ônibus da Transportes São Luiz,Canudos - Pres. Vargas
Linhas de Ônibus da Transportes São Luiz | Transportes São José,Canudos - Ver-o-Peso
Linhas de Ônibus da Vialuz,Pedreira - Condor
Linhas de Ônibus da Vialuz,Pedreira - Felipe Patroni
Linhas de Ônibus da Transportes São José,Canudos - Praça Amazonas
Linhas de Ônibus da Transportes São José,Canudos II - Praça Amazonas (Tucunduba)
Linhas de Ônibus da Transportes Canadá,UFPA · Alcindo Cacela - José Malcher
Linhas de Ônibus da Transportes Canadá,Domingos Marreiros
Linhas de Ônibus da Transportes Canadá,Castanheira - Pátio Belém (Seletivo)
Linhas de Ônibus da Transuni,Eduardo Angelim - São Brás
Linhas de Ônibus da Transuni,Tapanã - Castanheira
Linhas de Ônibus da Fênix Transportes,40 Horas - Marituba
Linhas de Ônibus da Fênix Transportes,Icuí - Marituba
Linhas de Ônibus da Fênix Transportes,PAAR - CEASA
Linhas de Ônibus da Transurb | Viação Guajará,UFPA - Cidade Nova 6
Linhas de Ônibus da Belém Rio,Outeiro - São Brás (via Itaiteua)
Linhas de Ônibus da Transportadora Arsenal,Arsenal
Linhas de Ônibus da Transportadora Arsenal,Cipriano Santos - Pres. Vargas
Linhas de Ônibus da Transportadora Arsenal,Ceasa - Felipe Patroni
Linhas de Ônibus da Transportadora Arsenal,Ceasa - Ver-o-Peso
Linhas de Ônibus da Transurb | Viação Guajará | Viação Rio Guamá,UFPA - Icoaraci
Linhas de Ônibus da Autoviária Paraense,Marituba - Pátio Belém (Decouville)
Linhas de Ônibus da Autoviária Paraense,Marituba - São Brás
Linhas de Ônibus da Autoviária Paraense,Marituba - Ver-o-Peso
Linhas de Ônibus da Autoviária Paraense,Almir Gabriel - Pres. Vargas
Linhas de Ônibus da Autoviária Paraense,Almir Gabriel - Ver-o-Peso
Linhas de Ônibus da Autoviária Paraense,Almir Gabriel - Pátio Belém
Linhas de Ônibus da Autoviária Paraense,Marituba - Pátio Belém (Mario Couto)
Linhas de Ônibus da Autoviária Paraense,Marituba - Ver-o-Peso (via Alça Viária)
Linhas de Ônibus da Autoviária Paraense,Marituba - Icoaraci
Linhas de Ônibus da Autoviária Paraense,Julia Seffer - Pres. Vargas
Linhas de Ônibus da Viação Monte Cristo,Sacramenta - Humaitá
Linhas de Ônibus da Viação Monte Cristo,Sacramenta - São Brás
Linhas de Ônibus da Viação Monte Cristo,Sacramenta - Pres. Vargas
Linhas de Ônibus da Viação Monte Cristo,Pedreira - Nazaré
Linhas de Ônibus da Viação Monte Cristo,Pedreira - Lomas (Linha A / Euclides da Cunha)
Linhas de Ônibus da Viação Monte Cristo,Pedreira - Lomas (Seletivo)
Linhas de Ônibus da Viação Monte Cristo,Marex - Arsenal
Linhas de Ônibus da Barata Transportes,Benfica Murinin - Castanheira
Linhas de Ônibus da Barata Transportes,Marituba - Cidade Nova
Linhas de Ônibus da Barata Transportes,Júlia Seffer - Cidade Nova
Linhas de Ônibus da Barata Transportes,Águas Brancas - Cidade Nova
Linhas de Ônibus da Barata Transportes,Icoaraci - Marituba
Linhas de Ônibus da Barata Transportes,Unama BR - Pres. Vargas
Linhas de Ônibus da Barata Transportes,Ananindeua - Pres. Vargas (Águas Brancas)
Linhas de Ônibus da Barata Transportes,Distrito Industrial - Pátio Belém
Linhas de Ônibus da Barata Transportes,Distrito Industrial - São Brás
Linhas de Ônibus da Barata Transportes,Julia Seffer - Pátio Belém
Linhas de Ônibus da Barata Transportes,Distrito Industrial - Cidade Nova
Linhas de Ônibus da Viação Monte Cristo,CDP/Providência - Ver-o-Peso
Linhas de Ônibus da Viação Monte Cristo,Pedreira - Lomas (Linha B / BR 316)
Linhas de Ônibus da Transurb,UFPA - Tamoios
Linhas de Ônibus da Transurb,João Paulo II - Ver-o-Peso
Linhas de Ônibus da Transurb,Marex - Felipe Patroni
Linhas de Ônibus da Viação Rio Guamá,Guamá - Conselheiro
Linhas de Ônibus da Viação Rio Guamá,Guamá - Montepio
Linhas de Ônibus da Viação Rio Guamá,Guamá - Ver-o-Peso
Linhas de Ônibus da Viação Rio Guamá,Guamá - Pres. Vargas
Linhas de Ônibus da Viação Rio Guamá,Guamá - Pátio Belém
Linhas de Ônibus da Viação Rio Guamá,Marex - Ver-o-Peso
Linhas de Ônibus da Viação Rio Guamá,Marex - Pres. Vargas
Linhas de Ônibus da Transportes Nova Marambaia | Vialoc,Eduardo Angelim - Ver-o-Peso
Linhas de Ônibus da Transportes Nova Marambaia | Transcol,Pratinha - Castanheira (via Júlio César)
Linhas de Ônibus da Viação Guajará,Cremação - Estrada Nova
Linhas de Ônibus da Viação Guajará,Cremação - Alcindo Cacela
Linhas de Ônibus da Viação Guajará,UFPA - Pedreira
Linhas de Ônibus da Viação Guajará,UFPA - Padre Eutí­quio
Linhas de Ônibus da Viação Guajará,UFPA - Alcindo Cacela
Linhas de Ônibus da Viação Guajará,UFPA - Ver-o-Peso
Linhas de Ônibus da Viação Guajará,UFPA - Pres. Vargas
Linhas de Ônibus da Viação Guajará,UFPA - Centro Histórico
Linhas de Ônibus da Transportes Nova Marambaia | Viação Guajará,Tapanã - UFPA
Linhas de Ônibus da Vialoc | Viação Guajará,Marituba - UFPA
Linhas de Ônibus da Transportes Nova Marambaia,Pratinha - Pres. Vargas
Linhas de Ônibus da Transportes Nova Marambaia,Pratinha - Castanheira (via Tapanã)
Linhas de Ônibus da Transportes Nova Marambaia,Marex - Centro (via Bengui)
Linhas de Ônibus da Transportes Nova Marambaia,Pratinha - UFPA
Linhas de Ônibus da Transportes Nova Marambaia,Benguí - Pres. Vargas
Linhas de Ônibus da Transportes Nova Marambaia,Benguí - Felipe Patroni
Linhas de Ônibus da Transportes Nova Marambaia,Benguí - Ver-o-Peso
Linhas de Ônibus da Transportes Nova Marambaia,Cordeiro de Farias - Pres. Vargas
Linhas de Ônibus da Transportes Nova Marambaia,Canarinho - Pres. Vargas
Linhas de Ônibus da Transportes Nova Marambaia,Cordeiro de Farias - Ver-o-Peso
Linhas de Ônibus da Transportes Nova Marambaia,Pratinha - Ver-o-Peso
Linhas de Ônibus da Transportes Nova Marambaia,Cordeiro de Farias - Castanheira
Linhas de Ônibus da Transportes Nova Marambaia,Canarinho / Tapajós - Ver-o-Peso
Linhas de Ônibus da Transportes Nova Marambaia,Tapanã II - Ver-o-Peso
Linhas de Ônibus da Transportes Nova Marambaia,Tapanã - Felipe Patroni
Linhas de Ônibus da Transportes Nova Marambaia,Tapanã - Ver-o-Peso
Linhas de Ônibus da Transportes Nova Marambaia,Tapanã - Pres. Vargas
